Series ID,Year,Period,Label,Value
APU0000708111,2007,M03,2007 Mar,1.634
APU0000708111,2007,M04,2007 Apr,1.616
APU0000708111,2007,M05,2007 May,1.504
APU0000708111,2007,M06,2007 Jun,1.373
APU0000708111,2007,M07,2007 Jul,1.502
APU0000708111,2007,M08,2007 Aug,1.634
APU0000708111,2007,M09,2007 Sep,1.825
APU0000708111,2007,M10,2007 Oct,1.771
APU0000708111,2007,M11,2007 Nov,1.862
APU0000708111,2007,M12,2007 Dec,2.099
APU0000708111,2008,M01,2008 Jan,2.175
APU0000708111,2008,M02,2008 Feb,2.168
APU0000708111,2008,M03,2008 Mar,2.203
APU0000708111,2008,M04,2008 Apr,2.069
APU0000708111,2008,M05,2008 May,1.930
APU0000708111,2008,M06,2008 Jun,1.920
APU0000708111,2008,M07,2008 Jul,2.011
APU0000708111,2008,M08,2008 Aug,1.854
APU0000708111,2008,M09,2008 Sep,1.978
APU0000708111,2008,M10,2008 Oct,1.858
APU0000708111,2008,M11,2008 Nov,1.838
APU0000708111,2008,M12,2008 Dec,1.834
APU0000708111,2009,M01,2009 Jan,1.850
APU0000708111,2009,M02,2009 Feb,1.795
APU0000708111,2009,M03,2009 Mar,1.693
APU0000708111,2009,M04,2009 Apr,1.774
APU0000708111,2009,M05,2009 May,1.501
APU0000708111,2009,M06,2009 Jun,1.529
APU0000708111,2009,M07,2009 Jul,1.495
APU0000708111,2009,M08,2009 Aug,1.632
APU0000708111,2009,M09,2009 Sep,1.627
APU0000708111,2009,M10,2009 Oct,1.595
APU0000708111,2009,M11,2009 Nov,1.705
APU0000708111,2009,M12,2009 Dec,1.772
APU0000708111,2010,M01,2010 Jan,1.789
APU0000708111,2010,M02,2010 Feb,1.872
APU0000708111,2010,M03,2010 Mar,1.822
APU0000708111,2010,M04,2010 Apr,1.779
APU0000708111,2010,M05,2010 May,1.523
APU0000708111,2010,M06,2010 Jun,1.494
APU0000708111,2010,M07,2010 Jul,1.441
