year_month,trend,seasonal,residuals
2006-01,154.9254937637383,-2.034011144670924,1.2085173809326193
2006-02,155.27273342950767,-2.219196547733,0.44646311822532425
2006-03,155.62567488418478,-0.5611186967405756,-0.06455618744419667
2006-04,155.98360872918846,1.1302441777908816,0.08614709302065648
2006-05,156.3456051879858,2.4892517546132513,-0.3348569425990604
2006-06,156.71051433442145,3.059180664856319,-0.2696949992777604
2006-07,157.07709909583878,3.6032369534700086,-1.2803360493087723
2006-08,157.44417197581956,2.104547841991806,0.2512801821886512
2006-09,157.81105057458936,0.09798219446393143,-1.1090327690532717
2006-10,158.17765321992093,-1.6578739238490536,-0.6197792960718687
2006-11,158.5480529324633,-1.7179370237007967,-0.4301159087625024
2006-12,158.94295620286658,-3.1785976022290425,1.1356413993624699
2007-01,159.3747612748359,-2.304695659267133,-0.6700656155687454
2007-02,159.86069975522986,-2.4722620431701063,0.3115622879402338
2007-03,160.42671164314598,-0.9349834865605827,0.6082718434145988
2007-04,161.08464623408813,0.6214516423993057,0.49390212351255514
2007-05,161.83562216763542,2.1687267152869847,-0.20434888292240316
2007-06,162.67599556721262,2.874298746148536,-1.850294313361161
2007-07,163.59897464620636,3.3928380470533726,-2.091812693259726
2007-08,164.59961593666515,2.1694745825643693,-3.7690905192295077
2007-09,165.68526080803508,0.7769031399608533,-2.7621639479959583
2007-10,166.87022759170165,-0.9478186860542976,-1.4224089056473588
2007-11,168.15388257270496,-1.4566347571085343,1.3027521844035732
2007-12,169.51541596462187,-3.106366979383258,0.4909510147614071
2008-01,170.90038558742518,-2.3755568520921067,-0.024828735333073837
2008-02,172.21187650563442,-2.5381369007935346,-0.07373960484088116
2008-03,173.3395047044878,-1.1085123151435547,1.1690076106557399
2008-04,174.19659418433895,0.3111593354749883,0.7922464801860656
2008-05,174.73382784160566,1.9208027118115831,2.745369446582771
2008-06,174.93877407440652,2.5622269690417725,4.498998956551702
2008-07,174.83349586493463,2.951788518409193,7.814715616656173
2008-08,174.4688491991965,1.96976728050866,6.161383520294834
2008-09,173.90352775060134,1.124325939611004,7.8721463097876665
2008-10,173.1818203917233,-0.4414849045943074,4.059664512871024
2008-11,172.3354426082327,-1.2051187306520332,-1.7303238775806733
2008-12,171.39633342070553,-2.9572892520504066,-4.3390441686551355
2009-01,170.41577542298035,-2.291441466902005,-3.4243339560783568
2009-02,169.47084095718571,-2.5456176536451234,-3.0252233035405993
2009-03,168.65186166922268,-1.2046435537170896,-4.547218115505586
2009-04,168.04754791971916,0.06849672693813123,-3.916044646657298
2009-05,167.72025425364689,1.7177151099234682,-3.6379693635703347
2009-06,167.69319159245435,2.2812136871860336,-1.5744052796403878
2009-07,167.9448026536926,2.5532800192791267,-3.398082672971725
2009-08,168.41923965024083,1.8695826297373273,-0.8888222799781431
2009-09,169.03366959098796,1.4756907418757708,-1.9093603328637414
2009-10,169.71379519708287,-0.03269746232082105,-0.7810977347620565
2009-11,170.41814366960534,-1.2303822368652944,1.512238567259942
2009-12,171.1281612642607,-2.9728780929233656,2.6447168286626663
2010-01,171.83528899930502,-1.7646523694375986,3.0293633701325575
2010-02,172.53731439512103,-1.8835768536434734,1.5462624585224205
2010-03,173.24041686387065,-0.46373847697915094,1.1233216131085157
2010-04,173.94991719089657,0.7620836643310195,0.48799914477240236
2010-05,174.67102965042452,1.689933287197043,-0.26096293762157075
2010-06,175.412790348062,1.346928070930449,-1.959718418992452
2010-07,176.19673715860668,0.924972926488072,-2.421710085094759
2010-08,177.0468346987127,0.8199115880977454,-2.566746286810428
2010-09,177.98914868490633,0.5503849278409516,-3.0395336127472774
2010-10,179.04067919891602,-0.3727549345242186,-1.367924264391803
2010-11,180.1942565111979,-1.0741827415153604,-0.9200737696825456
2010-12,181.42356858984283,-2.178998857649536,-0.14456973219330393
2011-01,182.69083194495454,-1.0032671015001926,-0.587564843454345
2011-02,183.9601657490115,-0.674126241387968,0.013960492376469347
2011-03,185.19638583799417,0.7948767301162877,1.30873743188954
2011-04,186.3670862498054,1.6285313184942352,2.204382431700367
2011-05,187.44569580128066,1.7022609686904095,2.7520432300289315
2011-06,188.41728249674992,0.3701683033557428,2.3125491998943346
2011-07,189.27229055280296,-0.2712763663378849,2.698985813534904
2011-08,190.00211069924663,-0.06872895570453896,0.766618256457889
2011-09,190.59944233619055,0.045618446565591844,0.8549392172438672
2011-10,191.0609650029284,-0.5127339450144092,-0.3482310579140062
2011-11,191.40050618209125,-1.2612703326048278,0.4607641505135689
2011-12,191.65072281614397,-1.9882766585501783,-0.062446157593797125
2012-01,191.85321186556249,-1.0250499089499794,0.27183804338747564
2012-02,192.0409568293713,0.0018895378936081841,0.057153632735065685
2012-03,192.23276375332676,1.2705374051078246,0.7966988415654157
2012-04,192.43680612547436,1.8108068239548072,0.4523870505708203
2012-05,192.6532076616193,1.575538625373347,-0.6287462869926514
2012-06,192.8690452478381,0.2912271723094816,-1.4602724201475894
2012-07,193.06381188998867,-0.0029932041584917746,-1.8608186858301963
2012-08,193.22605732800727,0.31204738279532845,-0.038104710802599584
2012-09,193.35606539891725,0.6782651063887809,1.3656694946939751
2012-10,193.46261690673745,-0.15096421461261764,1.7883473078751706
2012-11,193.5524841890619,-1.3525041012229866,0.400019912161099
2012-12,193.62817626440207,-2.169393025365982,0.34121676096393116
2013-01,193.6891493495375,-1.6789149425102794,0.5897655929727819
2013-02,193.7343594741802,-0.30858188035778666,1.7742224061775858
2013-03,193.7652917832649,0.6687342932983669,0.06597392343672936
2013-04,193.78859888507301,1.1124839493056253,-0.9010828343786272
