,uk_brent_prices,wti_prices,year_month
212,57.52,59.0,2005-07
213,54.35,56.35,2005-06
214,48.65,49.83,2005-05
215,51.88,52.98,2005-04
216,53.1,54.19,2005-03
217,45.48,48.15,2005-02
218,44.51,46.84,2005-01
219,39.6,43.15,2004-12
220,43.11,48.47,2004-11
221,49.78,53.28,2004-10
222,43.2,45.94,2004-09
223,42.74,44.9,2004-08
224,38.22,40.78,2004-07
225,35.18,38.03,2004-06
226,37.57,40.28,2004-05
227,33.59,36.75,2004-04
228,33.63,36.74,2004-03
229,30.86,34.69,2004-02
230,31.28,34.31,2004-01
